v1,v2
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"WINNER!! As a valued network customer you have been selected to receive a £900 reward!"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day 6days. TsandCs apply Reply HL 4 info"
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: WIN to 80086 now. T&C www.dbuk.net"
ham,"I've been searching for the right words to thank you for this breather. I promise i won't take your help for granted and will fulfil my promise."
ham,"I HAVE BEEN WAITING FOR YOUR CALL"
spam,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. Call 09061701461 now!"
ham,"Will I see you tomorrow?"
spam,"You have 1 new voicemail. Call 901 now!"
ham,"Hey what are you doing. how was your day?"
spam,"Congratulations! You’ve won a £1000 cash prize or a holiday worth £5000. To claim call 09050000327!"
